Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Abakar SyllaA. Sylla,20,Côte d'Ivoire,Défenseur central,DC,"15,00 mio. €",Club Brugge KV,Belgique,"20,00 mio. €",RC Strasbourg Alsace,
Emanuel EmeghaE. Emegha,20,Pays-Bas,Avant-centre,AC,"11,00 mio. €",SK Sturm Graz,Autriche,"13,00 mio. €",RC Strasbourg Alsace,
Junior MwangaJ. Mwanga,20,France,Défenseur central,DC,"6,00 mio. €",FC Girondins de Bordeaux,France,"10,00 mio. €",RC Strasbourg Alsace,
Dilane BakwaD. Bakwa,20,France,Ailier gauche,AiG,"7,00 mio. €",FC Girondins de Bordeaux,France,"10,00 mio. €",RC Strasbourg Alsace,
Saïdou SowS. Sow,21,Guinée,Défenseur central,DC,"3,00 mio. €",AS Saint-Étienne,France,"3,00 mio. €",RC Strasbourg Alsace,
Jessy DeminguetJ. Deminguet,25,France,Milieu central,MC,"2,00 mio. €",SM Caen,France,Tr. libre,RC Strasbourg Alsace,
Steven BaseyaS. Baseya,18,France,Défenseur central,DC,50 K €,AS Nancy-Lorraine B,France,?,RC Strasbourg Alsace,
Karol FilaK. Fila,25,Pologne,Arrière droit,ArD,900 K €,SV Zulte Waregem,Belgique,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Jordan RobinandJ. Robinand,19,France,Milieu offensif,MO,50 K €,Racing Strasbourg B,France,-,RC Strasbourg Alsace,
Dany JeanDany Jean,20,Haïti,Milieu gauche,MG,150 K €,Racing Strasbourg B,France,-,RC Strasbourg Alsace,
ÂngeloÂngelo,18,Brésil,Ailier droit,AiD,"15,00 mio. €",Chelsea FC,Angleterre,Prêt,RC Strasbourg Alsace,
Maxime BastianM. Bastian,22,France,Arrière gauche,ArG,"1,20 mio. €",FC Annecy,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Marvin SenayaM. Senaya,22,France,Arrière droit,ArD,"1,00 mio. €",Rodez AF,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Moïse Sahi DionM. Dion,21,Côte d'Ivoire,Avant-centre,AC,"3,00 mio. €",FC Annecy,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Marvin ElimbiM. Elimbi,20,France,Défenseur central,DC,300 K €,US Orléans,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Mehdi ChahiriM. Chahiri,26,France,Ailier gauche,AiG,700 K €,Paris FC,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Alaa BellaarouchA. Bellaarouch,21,Maroc,Gardien de but,GdB,200 K €,Stade Briochin,France,Fin du prêt30 juin 2023,RC Strasbourg Alsace,
Habib DialloH. Diallo,28,Sénégal,Avant-centre,AC,"14,00 mio. €",Al-Shabab FC,Arabie Saoudite,"18,00 mio. €",,RC Strasbourg Alsace
Jean-Ricner BellegardeJ. Bellegarde,25,France,Milieu central,MC,"15,00 mio. €",Wolverhampton Wanderers,Angleterre,"15,00 mio. €",,RC Strasbourg Alsace
Dimitri LiénardD. Liénard,35,France,Milieu gauche,MG,400 K €,SC Bastia,France,Tr. libre,,RC Strasbourg Alsace
Mehdi ChahiriM. Chahiri,27,France,Ailier gauche,AiG,700 K €,Pau FC,France,Tr. libre,,RC Strasbourg Alsace
Alexander DjikuA. Djiku,28,Ghana,Défenseur central,DC,"8,00 mio. €",Fenerbahce,Turquie,Tr. libre,,RC Strasbourg Alsace
Robin RisserR. Risser,18,France,Gardien de but,GdB,150 K €,Dijon FCO,France,Prêt,,RC Strasbourg Alsace
Marvin ElimbiM. Elimbi,20,France,Défenseur central,DC,300 K €,SC União Torreense,Portugal,?,,RC Strasbourg Alsace
Nordine KandilN. Kandil,21,Maroc,Milieu offensif,MO,600 K €,FC Annecy,France,Prêt,,RC Strasbourg Alsace
Eiji KawashimaE. Kawashima,40,Japon,Gardien de but,GdB,150 K €,Sans club,   Sans club,-,,RC Strasbourg Alsace
Maxime Le MarchandM. Le Marchand,33,France,Défenseur central,DC,-,Fin de carrière,   Fin de carrière,-,,RC Strasbourg Alsace
Jordan RobinandJ. Robinand,19,France,Milieu offensif,MO,50 K €,SO Cholet,France,Prêt,,RC Strasbourg Alsace
Dany JeanDany Jean,20,Haïti,Milieu gauche,MG,150 K €,US Avranches,France,Prêt,,RC Strasbourg Alsace
Yuito SuzukiY. Suzuki,21,Japon,Avant-centre,AC,600 K €,Shimizu S-Pulse,Japon,Fin du prêt30 juin 2023,,RC Strasbourg Alsace
Morgan SansonM. Sanson,28,France,Milieu central,MC,"7,00 mio. €",Aston Villa,Angleterre,Fin du prêt30 juin 2023,,RC Strasbourg Alsace
Colin DagbaC. Dagba,24,France,Arrière droit,ArD,"2,50 mio. €",Paris Saint-Germain,France,Fin du prêt30 juin 2023,,RC Strasbourg Alsace
Mostafa MohamedMostafa Mohamed,25,Égypte,Avant-centre,AC,"9,00 mio. €",Galatasaray,Turquie,"5,75 mio. €",FC Nantes,
Douglas AugustoD. Augusto,26,Brésil,Milieu central,MC,"4,50 mio. €",PAOK Thessaloniki,Grèce,"5,50 mio. €",FC Nantes,
AdsonAdson,22,Brésil,Milieu offensif,MO,"6,00 mio. €",Corinthians São Paulo,Brésil,"5,00 mio. €",FC Nantes,
Andy DelortA. Delort,31,Algérie,Avant-centre,AC,"7,00 mio. €",OGC Nice,France,"5,00 mio. €",FC Nantes,
Lamine DiackL. Diack,22,Sénégal,Milieu défensif,MDC,"1,80 mio. €",MKE Ankaragücü,Turquie,Montant du prêt:400 K €,FC Nantes,
MarquinhosMarquinhos,20,Brésil,Ailier droit,AiD,"10,00 mio. €",Arsenal FC,Angleterre,Montant du prêt:300 K €,FC Nantes,
Ronaël Pierre-GabrielR. Pierre-Gabriel,25,France,Arrière droit,ArD,"4,00 mio. €",1.FSV Mainz 05,Allemagne,Tr. libre,FC Nantes,
Jean-Kévin DuverneJ. Duverne,26,Haïti,Défenseur central,DC,"4,00 mio. €",Stade Brestois 29,France,Tr. libre,FC Nantes,
Matthis AblineM. Abline,20,France,Avant-centre,AC,"4,50 mio. €",Stade Rennais FC,France,Prêt,FC Nantes,
Eray CömertE. Cömert,25,Suisse,Défenseur central,DC,"3,50 mio. €",FC Valencia,Espagne,Prêt,FC Nantes,
Nathan ZezeN. Zeze,18,France,Défenseur central,DC,400 K €,FC Nantes B,France,-,FC Nantes,
Stredair AppuahS. Appuah,19,France,Ailier gauche,AiG,800 K €,FC Nantes U19,France,-,FC Nantes,
Bastien MeupiyouB. Meupiyou,17,France,Défenseur central,DC,250 K €,FC Nantes B,France,-,FC Nantes,
Junior DiazJ. Diaz,19,Côte d'Ivoire,Défenseur central,DC,100 K €,FC Nantes B,France,-,FC Nantes,
Abdoul Kader BambaA. Bamba,29,France,Ailier droit,AiD,900 K €,AS Saint-Étienne,France,Fin du prêt30 juin 2023,FC Nantes,
Bridge NdiluB. Ndilu,22,France,Avant-centre,AC,250 K €,SO Cholet,France,Fin du prêt30 juin 2023,FC Nantes,
Ludovic BlasL. Blas,25,France,Milieu offensif,MO,"22,00 mio. €",Stade Rennais FC,France,"15,00 mio. €",,FC Nantes
Andrei GirottoA. Girotto,31,Brésil,Défenseur central,DC,"4,00 mio. €",Al-Taawoun FC,Arabie Saoudite,"4,00 mio. €",,FC Nantes
Andy DelortA. Delort,31,Algérie,Avant-centre,AC,"7,00 mio. €",Umm Salal SC,Qatar,"2,50 mio. €",,FC Nantes
Gor ManvelyanG. Manvelyan,21,Arménie,Milieu offensif,MO,300 K €,FC Noah Yerevan,Arménie,Tr. libre,,FC Nantes
Charles TraoréC. Traoré,31,Mali,Arrière gauche,ArG,500 K €,SC Bastia,France,Tr. libre,,FC Nantes
Bridge NdiluB. Ndilu,23,France,Avant-centre,AC,250 K €,Swift Hesperange,Luxembourg,Tr. libre,,FC Nantes
Sébastien CorchiaS. Corchia,32,France,Arrière droit,ArD,"1,00 mio. €",Amiens SC,France,Tr. libre,,FC Nantes
Samuel Yépié YépiéS. Yépié Yépié,20,France,Milieu offensif,MO,125 K €,Adanaspor,Turquie,Tr. libre,,FC Nantes
Lohann DoucetL. Doucet,20,France,Milieu défensif,MDC,700 K €,Paris FC,France,Prêt,,FC Nantes
Junior DiazJ. Diaz,20,Côte d'Ivoire,Défenseur central,DC,100 K €,FC Annecy,France,Prêt,,FC Nantes
Evann GuessandE. Guessand,21,France,Avant-centre,AC,"4,50 mio. €",OGC Nice,France,Fin du prêt30 juin 2023,,FC Nantes
Andy DelortA. Delort,31,Algérie,Avant-centre,AC,"7,00 mio. €",OGC Nice,France,Fin du prêt30 juin 2023,,FC Nantes
João VictorJoão Victor,24,Brésil,Défenseur central,DC,"7,00 mio. €",SL Benfica,Portugal,Fin du prêt30 juin 2023,,FC Nantes
Mostafa MohamedMostafa Mohamed,25,Égypte,Avant-centre,AC,"9,00 mio. €",Galatasaray,Turquie,Fin du prêt30 juin 2023,,FC Nantes
Rassoul NdiayeR. Ndiaye,21,Sénégal,Milieu central,MC,"4,00 mio. €",FC Sochaux-Montbéliard,France,"1,50 mio. €",Le Havre AC,
Emmanuel SabbiE. Sabbi,25,États-Unis,Ailier droit,AiD,800 K €,Odense Boldklub,Danemark,"1,00 mio. €",Le Havre AC,
Issa SoumaréI. Soumaré,22,Sénégal,Ailier gauche,AiG,"1,00 mio. €",Beerschot V.A.,Belgique,400 K €,Le Havre AC,
Daler KuzyaevD. Kuzyaev,30,Russie,Milieu central,MC,"10,00 mio. €",Zenit St. Pétersbourg,Russie,Tr. libre,Le Havre AC,
Abdoulaye TouréA. Touré,29,Guinée,Milieu défensif,MDC,"1,20 mio. €",Genoa CFC,Italie,Tr. libre,Le Havre AC,
Yoann SalmierY. Salmier,30,Guyane Française,Défenseur central,DC,"2,00 mio. €",ESTAC Troyes,France,Tr. libre,Le Havre AC,
Kandet DiawaraK. Diawara,23,France,Ailier gauche,AiG,250 K €,APOEL Nikosia,Chypre,Tr. libre,Le Havre AC,
Loïc NegoL. Nego,32,Hongrie,Arrière droit,ArD,"1,00 mio. €",Fehérvár FC,Hongrie,Tr. libre,Le Havre AC,
Cheick DoumbiaC. Doumbia,18,France,Arrière gauche,ArG,100 K €,FC Lorient B,France,?,Le Havre AC,
Mohamed BayoM. Bayo,25,Guinée,Avant-centre,AC,"6,00 mio. €",LOSC Lille,France,Prêt,Le Havre AC,
André AyewA. Ayew,33,Ghana,Ailier gauche,AiG,"1,20 mio. €",Sans club,   Sans club,-,Le Havre AC,
Mokrane BentoumiM. Bentoumi,18,France,Milieu offensif,MO,50 K €,Le Havre AC U19,France,-,Le Havre AC,
Yoni GomisY. Gomis,17,France,Défenseur central,DC,50 K €,Le Havre AC U19,France,-,Le Havre AC,
Ylan GomesY. Gomes,20,France,Ailier gauche,AiG,250 K €,Paris 13 Atletico,France,Fin du prêt30 juin 2023,Le Havre AC,
Pape Ibnou BaP. Ba,30,Mauritanie,Avant-centre,AC,400 K €,Pau FC,France,Fin du prêt30 juin 2023,Le Havre AC,
Jamal ThiaréJ. Thiaré,30,Sénégal,Avant-centre,AC,600 K €,Atlanta United FC,États-Unis,Tr. libre,,Le Havre AC
Ylan GomesY. Gomes,20,France,Ailier gauche,AiG,250 K €,FC Martigues,France,Tr. libre,,Le Havre AC
Victor LekhalV. Lekhal,29,Algérie,Milieu défensif,MDC,"2,50 mio. €",Umm Salal SC,Qatar,Tr. libre,,Le Havre AC
Quentin CornetteQ. Cornette,29,France,Ailier droit,AiD,800 K €,Volos NPS,Grèce,Tr. libre,,Le Havre AC
Nassim ChadliN. Chadli,22,Maroc,Ailier droit,AiD,500 K €,US Concarneau,France,Prêt,,Le Havre AC
Djamal MoussadekD. Moussadek,21,Maroc,Défenseur central,DC,150 K €,FC Villefranche-Beaujolais,France,Prêt,,Le Havre AC
Salifou SoumahS. Soumah,19,Guinée,Ailier droit,AiD,100 K €,Zira FK,Azerbaïdjan,?,,Le Havre AC
Elies MahmoudE. Mahmoud,22,France,Milieu droit,MD,800 K €,FC Stade-Lausanne-Ouchy,Suisse,?,,Le Havre AC
Abdelwahed WahibA. Wahib,23,Maroc,Arrière gauche,ArG,400 K €,US Concarneau,France,?,,Le Havre AC
Pape Ibnou BaP. Ba,30,Mauritanie,Avant-centre,AC,400 K €,US Concarneau,France,Prêt,,Le Havre AC
Yann KitalaY. Kitala,25,RD Congo,Avant-centre,AC,900 K €,Almere City FC,Pays-Bas,Prêt,,Le Havre AC
Aristide WamA. Wam,21,Cameroun,Milieu défensif,MDC,50 K €,Sans club,   Sans club,-,,Le Havre AC
Terence KongoloT. Kongolo,29,Pays-Bas,Défenseur central,DC,900 K €,FC Fulham,Angleterre,Fin du prêt30 juin 2023,,Le Havre AC
Check Oumar DiakitéC. Diakité,20,France,Milieu central,MC,550 K €,Paris FC,France,Fin du prêt30 juin 2023,,Le Havre AC
Amir RichardsonA. Richardson,21,Maroc,Milieu central,MC,"3,50 mio. €",Stade de Reims,France,Fin du prêt30 juin 2023,,Le Havre AC
Kevin Van Den KerkhofK. Van Den Kerkhof,27,Algérie,Arrière droit,ArD,"2,50 mio. €",SC Bastia,France,"2,50 mio. €",FC Metz,
